Close,Timestamp,High,Low,Open
587.04601803,1470960000,603.21,582.6286338,589.01000077
583.53000526,1471046400,592.01916177,583.1,587.04601803
567.998863,1471132800,585.60598364,561.0001,585.60598364
565.7999886,1471219200,598.875,561.01000001,567.998863
576.52023523,1471305600,583.88999998,561.97999991,563.72220595
574.85998412,1471392000,580,566,576.52023522
576.4709936,1471478400,578.201,566,572.28900521
575.99006035,1471564800,576.97628147,562.98575308,575.72953481
581.99999999,1471651200,584.0510751,570.31156601,575.00000111
580.87500552,1471737600,585.05,580.20000001,581.99999999
588.38599481,1471824000,594.98999999,578,580.87500552
585.03999477,1471910400,595,580.1,585.26300519
583,1471996800,589.81064312,578.50000001,585.03999477
575.78999591,1472083200,582.9899867,572.99999999,580.38000747
578.97999795,1472169600,585.92252841,574.05000008,575.00000122
572.35799479,1472256000,578.97999786,565.00000002,577.70001024
574.1719607,1472342400,577.71735618,562.98575308,571.89799481
573.6960052,1472428800,589,570.6650052,574.17196075
579.96000001,1472515200,584.31999999,572.42180328,576.79999407
573.81003125,1472601600,581.83825636,572.02874947,581.17
574.34090776,1472688000,577.57754404,570.16069518,573.81003398
576.01000003,1472774400,598.61000177,570,574.34090776
610.41999481,1472860800,614.99799999,560.33,578.22741293
610.65,1472947200,620,600,608.00000045
610.10000541,1473033600,615,603.30830002,613.45999479
614.74713894,1473120000,616.9,608,611.41062641
619.72886368,1473206400,623.9,609.726108,615.85017282
634.26777916,1473292800,635.6916378,615.33010519,619.02213382
627.00000002,1473379200,634.8999947,621.1,632.34000001
627.99998771,1473465600,630,623.30000021,627.00000002
610.51369403,1473552000,635.95,591.66395154,627.99998771
611.99999999,1473638400,618,607.43117447,610.51369335
614.00100015,1473724800,620.6,608.4,611.99999999
615.59957393,1473811200,618.30045086,612.55,614.00100015
612.6,1473897600,616.62578322,609,613.10901111
608.47603904,1473984000,614.48979942,608,612.6
608.99999997,1474070400,612.01975329,605.99999359,610.46602794
612.35478011,1474156800,617.47,606.89544201,608.99999999
609.00000008,1474243200,614.71983807,608.12198402,613.99999484
603,1474329600,616.98079117,603,609.00000001
597.49999999,1474416000,605.50918039,593.2,603
597.15000008,1474502400,600,595.02200012,597.49999999
